;;;Enhed;År;;;;;;;;;;Vinter;;;;;;;;;;Forår;;;;;;;;;;Sommer;;;;;;;;;;Efterår;;;;;;;;;
Danmark;;;;Reference (1981-2010);Start århundrede (2011-2040);;;Midt århundrede (2041-2070);;;Slut århundrede (2071-2100);;;Reference (1981-2010);Start århundrede (2011-2040);;;Midt århundrede (2041-2070);;;Slut århundrede (2071-2100);;;Reference (1981-2010);Start århundrede (2011-2040);;;Midt århundrede (2041-2070);;;Slut århundrede (2071-2100);;;Reference (1981-2010);Start århundrede (2011-2040);;;Midt århundrede (2041-2070);;;Slut århundrede (2071-2100);;;Reference (1981-2010);Start århundrede (2011-2040);;;Midt århundrede (2041-2070);;;Slut århundrede (2071-2100);;
;;;;;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil
5-årshændelse timenedbør;Mellem CO2-niveau (RCP4.5);Absolutte;mm/time;20,84;23,21;19,90;27,57;24,00;21,32;28,99;25,30;21,94;30,22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Ændring;%;;10,41;-4,49;33,07;14,19;1,29;38,85;20,96;4,35;44,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Højt CO2-niveau (RCP8.5);Absolutte;mm/time;20,84;23,18;20,32;27,14;25,11;21,76;29,12;28,25;23,43;34,97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Ændring;%;;11,14;-1,21;28,19;19,93;4,87;38,57;34,84;12,66;65,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10-årshændelse timenedbør;Mellem CO2-niveau (RCP4.5);Absolutte;mm/time;25,24;28,51;23,91;34,39;29,53;25,77;36,24;31,43;26,36;37,63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Ændring;%;;11,85;-5,42;36,38;15,87;0,86;42,67;23,48;4,01;48,73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Højt CO2-niveau (RCP8.5);Absolutte;mm/time;25,24;28,29;24,47;33,74;30,86;26,42;36,55;34,94;28,61;44,53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Ændring;%;;12,09;-1,38;31,22;21,69;5,13;42,58;37,57;14,02;74,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-årshændelse timenedbør;Mellem CO2-niveau (RCP4.5);Absolutte;mm/time;30,32;34,74;28,44;42,55;36,08;30,82;44,94;38,75;31,29;46,46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Ændring;%;;13,36;-6,70;39,82;17,95;0,07;46,59;26,15;3,12;52,55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Højt CO2-niveau (RCP8.5);Absolutte;mm/time;30,32;34,29;29,23;41,66;37,57;31,82;45,28;42,86;34,59;56,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Ændring;%;;13,06;-1,69;34,22;23,35;5,45;46,28;40,40;14,75;83,02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50-årshændelse timenedbør;Mellem CO2-niveau (RCP4.5);Absolutte;mm/time;38,26;44,65;35,26;56,01;46,71;38,51;59,25;50,56;38,80;61,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Ændring;%;;15,47;-8,71;44,67;21,24;-1,36;52,02;29,64;1,57;58,29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Højt CO2-niveau (RCP8.5);Absolutte;mm/time;38,26;43,84;36,54;54,77;48,23;40,24;59,50;55,56;43,96;75,74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Ændring;%;;14,12;-2,40;38,89;25,59;6,02;52,11;44,78;15,23;93,81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100-årshændelse timenedbør;Mellem CO2-niveau (RCP4.5);Absolutte;mm/time;45,34;53,72;41,09;68,68;56,40;45,15;72,74;61,16;45,60;75,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Ændring;%;;17,11;-10,44;48,68;23,54;-2,61;56,51;32,13;0,58;63,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
